condition,channel_set,held_out_material,n,mae,rmse,nrmse_global_range,mean_error_bias,median_ape_pct
A_not_baseline_centered,P_S_delta_dP_dS_ddP_ddS,titanium,24,5680.784226659707,6993.051066110901,0.18819719301956445,4856.2252509404,57.19210623199318
A_not_baseline_centered,P_delta_dP,titanium,24,5842.604819502093,7840.61336552778,0.21100681419228284,5407.001240049016,54.491978990321044
A_not_baseline_centered,S_delta_dS,titanium,24,5894.962717192477,7397.911768664928,0.19909281598360076,4199.966044804332,62.087880611353505
A_not_baseline_centered,P_dP,titanium,24,5723.734276365307,6895.009991151786,0.18555870876805627,4624.421160228595,72.01579186278076
A_not_baseline_centered,S_dS,titanium,24,6106.523153466497,7444.498539796419,0.20034656051884087,4136.999297096542,72.18212117733756
A_not_baseline_centered,delta,titanium,24,6087.800009931781,7372.055308221924,0.19839696617058047,5739.168937531654,83.26079683077609
A_not_baseline_centered,P,titanium,24,5914.875455767976,7667.548193745015,0.20634927927210978,4684.568704241724,57.638364108453935
A_not_baseline_centered,S,titanium,24,6410.339773538851,7584.14548647264,0.20410474319615307,4472.801332958087,68.97236085922378
A_not_baseline_centered,P_S_delta_dP_dS_ddP_ddS,wood,24,614.2065578954589,1035.8083574018433,0.027875704542458614,237.97677530371382,71.86926897819657
A_not_baseline_centered,P_delta_dP,wood,24,921.9178067171412,1631.9839840458808,0.04392000028982051,630.3812355749134,66.63528689858123
A_not_baseline_centered,S_delta_dS,wood,24,473.27114167384025,648.826969586444,0.01746125021498915,87.28928833726282,68.05632608405388
A_not_baseline_centered,P_dP,wood,24,1336.153814043792,2449.7356699471807,0.06592735736739866,1052.2611113938017,68.72148038233298
A_not_baseline_centered,S_dS,wood,24,267.75865483611625,307.2973761196082,0.008269995894674687,-143.10933017758978,60.15632414233254
A_not_baseline_centered,delta,wood,24,1444.2057837085458,3344.098647961657,0.0899964797592862,1086.2682646929213,67.57762330701158
A_not_baseline_centered,P,wood,24,305.8768932860374,376.2761655122547,0.010126355074503091,18.361880118879014,69.41760123469469
A_not_baseline_centered,S,wood,24,204.55740492687528,235.6559715200569,0.006341980337208909,-165.49746964551898,46.26740925757945
A_not_baseline_centered,P_S_delta_dP_dS,aluminum,24,9546.577589197506,10490.947379864556,0.2823326800192356,-9546.577589197506,40.76859643024859
A_not_baseline_centered,P_S_delta_dP_dS,bismuth,24,8646.358908847724,9192.425474276808,0.2473868208519383,8354.570089319253,317.2467702297381
A_not_baseline_centered,P_S_delta_dP_dS,cement,24,1533.9233927445832,2694.755439168508,0.07252133649980044,1338.5042146359872,33.38209868599177
A_not_baseline_centered,P_S_delta_dP_dS,copper,24,24820.546557755442,25182.260477576496,0.6777057240056846,-24820.546557755442,64.37834774484512
A_not_baseline_centered,P_S_delta_dP_dS,cork,24,103.92582798106713,119.8010822480644,0.003224090198490499,57.218122651168215,68.34303873205738
A_not_baseline_centered,P_S_delta_dP_dS,graphite,24,3579.3022879204677,4595.022328930514,0.12366137412576851,-815.9336245754826,20.16635076116752
A_not_baseline_centered,P_S_delta_dP_dS,gypsum,24,1768.8026147719145,3423.734500684696,0.09213964213641014,1645.4176682794443,47.447613195197945
A_not_baseline_centered,P_S_delta_dP_dS,iron,24,3795.482095966161,4953.320667045757,0.13330390938818643,1729.1469711042275,18.36892909171352
A_not_baseline_centered,P_S_delta_dP_dS,nickel,24,5191.177009929381,5875.172373224491,0.15811280922932805,-3263.501466891588,28.496120796397555
A_not_baseline_centered,P_S_delta_dP_dS,pdms,24,169.59702893408678,212.81550473090627,0.005727297032834686,-134.42489073425585,33.827543686293446
A_not_baseline_centered,P_S_delta_dP_dS,ps_foam,24,151.88011073770267,230.7404591268605,0.006209693925182617,151.88011073770267,215.73120666356135
A_not_baseline_centered,P_S_delta_dP_dS,pu_foam,24,168.69053669866202,327.6587385463395,0.008817961470578305,168.69053669866202,224.75803458389936
A_not_baseline_centered,P_S_delta_dP_dS,titanium,24,5311.706825604478,7364.130529312839,0.19818369429084,4828.5812435754915,41.11654598734195
A_not_baseline_centered,P_S_delta_dP_dS,wood,24,525.7518938770398,821.1029008418096,0.022097545071208792,175.1844461512887,64.1788229357591
