index,Sample,Trial,k,Mass,Volume,rho,cp,Time,Primary,Secondary,Label,eff,Elbow time,Elbow value,Elbow index,Time from elbow,Primary aligned,Secondary aligned,diff,id
138,cement,1,1.73,1.0,1.0,2700.0,880.0,13.8007,0.0710929130493191,-0.2213907302826262,ceramic,2027,9.50066,0.0006603,95.0,4.300040000000001,-4.3799999999999005e-06,3.6880000000000094e-05,-0.2365573228387266,cement_trial_1
139,cement,1,1.73,1.0,1.0,2700.0,880.0,13.9007,0.05553146296898876,-0.23272168990976377,ceramic,2027,9.50066,0.0006603,95.0,4.400040000000001,-4.439999999999978e-06,3.6860000000000104e-05,-0.22232580748915318,cement_trial_1
140,cement,1,1.73,1.0,1.0,2700.0,880.0,14.000660000000002,0.05034431294222136,-0.2780455284183755,ceramic,2027,9.50066,0.0006603,95.0,4.500000000000002,-4.4599999999999675e-06,3.678000000000004e-05,-0.24367308051349404,cement_trial_1
141,cement,1,1.73,1.0,1.0,2700.0,880.0,14.10066,0.05034431294222136,-0.3007074476726507,ceramic,2027,9.50066,0.0006603,95.0,4.6,-4.4599999999999675e-06,3.674000000000006e-05,-0.2579045958630289,cement_trial_1
142,cement,1,1.73,1.0,1.0,2700.0,880.0,14.2007,0.034782862861919145,-0.3347003265540634,ceramic,2027,9.50066,0.0006603,95.0,4.7000399999999996,-4.519999999999936e-06,3.668000000000009e-05,-0.2579045958630289,cement_trial_1
143,cement,1,1.73,1.0,1.0,2700.0,880.0,14.30066,0.02440856280838434,-0.3686932054355375,ceramic,2027,9.50066,0.0006603,95.0,4.800000000000001,-4.559999999999916e-06,3.662000000000001e-05,-0.2650203535378349,cement_trial_1
144,cement,1,1.73,1.0,1.0,2700.0,880.0,14.400660000000002,0.029595712835151743,-0.3800241650626751,ceramic,2027,9.50066,0.0006603,95.0,4.900000000000002,-4.539999999999926e-06,3.660000000000002e-05,-0.27925186888736975,cement_trial_1
145,cement,1,1.73,1.0,1.0,2700.0,880.0,14.500700000000002,0.014034262754821412,-0.41401704394408784,ceramic,2027,9.50066,0.0006603,95.0,5.000040000000002,-4.600000000000003e-06,3.654000000000005e-05,-0.27925186888733117,cement_trial_1
100,cement,2,1.73,1.0,1.0,2700.0,880.0,10.0007,1.0255285179749993,0.18652381629451073,ceramic,2027,10.0007,0.0006596,100.0,0.0,0.0,3.830000000000001e-05,-1.2896894587048453,cement_trial_2
101,cement,2,1.73,1.0,1.0,2700.0,880.0,10.10066,1.020341367948232,0.19785477592164832,ceramic,2027,10.0007,0.0006596,100.0,0.09995999999999938,-1.9999999999989644e-08,3.832e-05,-1.2754579433553106,cement_trial_2
102,cement,2,1.73,1.0,1.0,2700.0,880.0,10.20066,1.0047799178679298,0.152530937413098,ceramic,2027,10.0007,0.0006596,100.0,0.19995999999999903,-7.999999999995858e-08,3.824000000000004e-05,-1.282573701030078,cement_trial_2
103,cement,2,1.73,1.0,1.0,2700.0,880.0,10.3007,0.9165983674128277,0.152530937413098,ceramic,2027,10.0007,0.0006596,100.0,0.3000000000000007,-4.1999999999999937e-07,3.824000000000004e-05,-1.1616058205589546,cement_trial_2
104,cement,2,1.73,1.0,1.0,2700.0,880.0,10.40066,0.8284168169577256,0.1638618970402356,ceramic,2027,10.0007,0.0006596,100.0,0.3999600000000001,-7.600000000000402e-07,3.826000000000003e-05,-1.0335221824130638,cement_trial_2
