trial_id,Sample,Temperature,Trial,reservoir_seed,P_peak_to_peak,P_net_change,dPdt_max_abs,dPdt_abs_auc,state_mean_rms,state_temporal_variability,state_mean_abs,state_path_length,state_saturation_fraction
40C__cork_trial_2,cork,40C,2,43,6.401398601406068e-07,-6.401398601406068e-07,7.229861464551693e-07,6.401369742628147e-07,0.5370910162410822,0.05318557517968085,0.45302890046082833,1.0178480418909472,0.0
40C__cork_trial_2,cork,40C,2,44,6.401398601406068e-07,-6.401398601406068e-07,7.229861464551693e-07,6.401369742628147e-07,0.5479304482956978,0.05951391468382962,0.5215002497554008,1.2195474460923568,0.0
40C__cork_trial_3,cork,40C,3,42,4.893706293718127e-07,-4.893706293718127e-07,3.981351981352174e-07,4.893709584947755e-07,0.350297523448512,0.04032071451821099,0.28160239923607705,1.0077303795663273,0.0
40C__cork_trial_3,cork,40C,3,43,4.893706293718127e-07,-4.893706293718127e-07,3.981351981352174e-07,4.893709584947755e-07,0.5370909812894819,0.05318556346043642,0.4530288626380899,1.0178478508537088,0.0
40C__cork_trial_3,cork,40C,3,44,4.893706293718127e-07,-4.893706293718127e-07,3.981351981352174e-07,4.893709584947755e-07,0.5479304660920841,0.059513922126372854,0.5215002576986194,1.219547631961837,0.0
40C__cork_trial_4,cork,40C,4,42,5.493706293708059e-07,-5.493706293708059e-07,5.847409594002609e-07,5.493685623651061e-07,0.3502975499608963,0.04032071314866735,0.2816024081587076,1.0077302719576346,0.0
40C__cork_trial_4,cork,40C,4,43,5.493706293708059e-07,-5.493706293708059e-07,5.847409594002609e-07,5.493685623651061e-07,0.537090934476438,0.053185555546380624,0.4530288161946415,1.017847718656096,0.0
40C__cork_trial_4,cork,40C,4,44,5.493706293708059e-07,-5.493706293708059e-07,5.847409594002609e-07,5.493685623651061e-07,0.5479304938646511,0.0595139231818287,0.5215002693500848,1.2195476619928902,0.0
40C__cork_trial_5,cork,40C,5,42,6.008391608401144e-07,-6.008391608401144e-07,5.744799279777148e-07,6.008284311856968e-07,0.35029754865766305,0.04032072893338502,0.281602410001216,1.0077305445458697,0.0
40C__cork_trial_5,cork,40C,5,43,6.008391608401144e-07,-6.008391608401144e-07,5.744799279777148e-07,6.008284311856968e-07,0.537090943294445,0.05318556311638563,0.453028826111572,1.0178478222579053,0.0
